DateTime,high,low,open,close,volumeto,ETH,SP500,Russell_2000,Crude_oil,Gold,Silver,EUR/USD,Treasury Yield 10 Years,USD/JPY,wiki_Bitcoin,wiki_Cryptocurrency,wiki_Coinbase
2021-03-31,59818.5,56918.81,58781.54,58793.8,2727194335.71,1919.08,3972.889892578125,2220.52001953125,59.15999984741211,1713.800048828125,24.517000198364258,1.1723604202270508,1.746000051498413,110.30500030517578,7509,3811,1454
2021-04-01,59469.45,57949.11,58793.8,58730.82,1648724834.05,1967.67,4019.8701171875,2253.89990234375,61.45000076293945,1726.5,24.934999465942383,1.1728830337524414,1.6790000200271606,110.75,8719,3679,1717
2021-04-05,59235.68,56833.44,58219.43,59119.56,1439529332.47,2107.73,4077.909912109375,2264.889892578125,58.650001525878906,1727.0,24.76300048828125,1.176816701889038,1.7200000286102295,110.677001953125,6812,3868,1960
2021-04-06,59464.31,57369.44,59119.56,58010.35,1535666142.46,2112.29,4073.93994140625,2259.14990234375,59.33000183105469,1741.5,25.211999893188477,1.1818934679031372,1.656000018119812,110.19300079345703,7161,4325,2363
2021-04-07,58628.19,55467.58,58010.35,55951.98,2855410824.81,1964.18,4079.949951171875,2223.050048828125,59.77000045776367,1740.0999755859375,25.232999801635742,1.1874228715896606,1.652999997138977,109.79299926757812,7431,4327,2973
2021-04-08,58150.23,55711.07,55951.98,58084.46,1458096433.7,2081.11,4097.169921875,2242.60009765625,59.599998474121094,1756.800048828125,25.569000244140625,1.1873664855957031,1.6319999694824219,109.85199737548828,7331,4181,2195
2021-04-09,58881.94,57694.22,58084.46,58106.85,1241735091.75,2066.55,4128.7998046875,2243.469970703125,59.31999969482422,1743.300048828125,25.31100082397461,1.1915684938430786,1.6660000085830688,109.33000183105469,6533,3681,1788
2021-04-12,61233.29,59421.37,59980.45,59845.76,1913098388.79,2137.79,4127.990234375,2233.780029296875,59.70000076293945,1731.199951171875,24.85300064086914,1.1900511980056763,1.6749999523162842,109.69400024414062,8263,4538,3132
2021-04-13,63682.32,59811.31,59845.76,63558.48,3299086696.94,2298.66,4141.58984375,2228.919921875,60.18000030517578,1746.199951171875,25.41699981689453,1.1914690732955933,1.6230000257492065,109.3740005493164,9420,4969,5869
2021-04-14,64859.81,61312.98,63558.48,62964.27,4066819695.96,2431.86,4124.66015625,2247.719970703125,63.150001525878906,1734.9000244140625,25.514999389648438,1.1954143047332764,1.6380000114440918,108.92400360107422,11260,6579,23550
2021-04-15,63826.89,62038.33,62964.27,63233.03,2146219571.03,2517.08,4170.419921875,2257.070068359375,63.459999084472656,1765.4000244140625,25.95599937438965,1.1986095905303955,1.5299999713897705,108.89399719238281,9673,7085,14462
2021-04-16,63567.11,60048.13,63233.03,61416.41,3544777400.64,2425.96,4185.47021484375,2262.669921875,63.130001068115234,1779.0,26.099000930786133,1.1971746683120728,1.5729999542236328,108.68900299072266,9896,7978,7413
2021-04-19,57590.64,54291.08,56246.82,55680.11,2732647682.18,2163.36,4163.259765625,2232.0,63.380001068115234,1769.4000244140625,25.83099937438965,1.1969454288482666,1.6009999513626099,108.71900177001953,10667,6834,4261
2021-04-20,57101.05,53429.73,55680.11,56496.06,3091319805.6,2332.45,4134.93994140625,2188.2099609375,62.439998626708984,1777.300048828125,25.834999084472656,1.204529047012329,1.562000036239624,108.0979995727539,8740,6325,3216
2021-04-21,56801.94,53640.81,56496.06,53803.25,2312255459.33,2357.59,4173.419921875,2239.6298828125,61.349998474121094,1792.300048828125,26.565000534057617,1.2032392024993896,1.5640000104904175,108.13300323486328,7425,5442,2737
2021-04-22,55458.61,50519.78,53803.25,51717.61,4488994737.96,2401.35,4134.97998046875,2232.610107421875,61.43000030517578,1781.199951171875,26.173999786376953,1.2037750482559204,1.5540000200271606,108.03900146484375,7542,4932,2429
